"Company
(Maker-if known)","Specific Bean Origin
or Bar Name",REF,"Review
Date","Company
Location",Rating,"Bean
Type","Broad Bean
Origin","Cocoa
Percent"
Amedei,Chuao,111,2007,Italy,5,Trinitario,Venezuela,70%
Pierre Marcolini,Cabosse,111,2007,Belgium,4,Blend,"Venezuela, Java",70%
Patric,Madagascar,331,2009,U.S.A.,4,Trinitario,Madagascar,77%
"Smooth Chocolator, The","Porcelana, Sorotaima,Machiques,batch pcl001",1740,2016,Australia,4,Criollo,Ecuador,82%
Soma,Crazy 88,1077,2013,Canada,4,,"Guat., D.R., Peru, Mad., PNG",70%
Soma,"Maracaibo, El Vigia",1077,2013,Canada,4,Criollo,Venezuela,70%
Madecasse (Cinagra),Madagascar,284,2008,Madagascar,4,Trinitario,Madagascar,67%
Scharffen Berger,Asante,336,2009,U.S.A.,4,Forastero,Ghana,75%
Pierre Marcolini,"Ocumare, Puerto Cabello, Venezuela",93,2006,Belgium,4,Criollo,Venezuela,65%
Pralus,Fortissima,93,2006,France,4,"Criollo, Trinitario",Ecuador,65%
Woodblock,Ocumare,741,2011,U.S.A.,4,,Venezuela,72%
Valrhona,Guanaja,63,2006,France,4,"Criollo, Trinitario",South America,70%
Ritual,Sambirano,891,2012,U.S.A.,4,Trinitario,Madagascar,74%
Michel Cluizel,Los Ancones P.,24,2006,France,4,,Dominican Republic,75%
Michel Cluizel,Mangaro P.,24,2006,France,4,Trinitario,Madagascar,75%
Michel Cluizel,Maralumi P.,24,2006,France,4,,Papua New Guinea,75%
Tobago Estate (Pralus),"Roxborough, Tobago",895,2012,France,4,Trinitario,Tobago,75%
Soma,Peruvian,676,2011,Canada,4,,Peru,70%
Soma,"Three Amigos(Chuao, Wild Bolivia, D.R.)",676,2011,Canada,4,,"Ven, Bolivia, D.R.",70%
Valrhona,Manjari,129,2007,France,4,"Criollo, Trinitario",Madagascar,70%
Soma,Porcelana,1594,2015,Canada,4,,Venezuela,75%
Patric,"Piura, Choc. Garage Exclusive",1034,2013,U.S.A.,4,,Peru,70%
Pralus,Jamaique,32,2006,France,4,Trinitario,Jamaica,75%
Santander (Compania Nacional),Colombian Dark,32,2006,Colombia,4,Forastero (Nacional),Colombia,75%
A. Morin,Chuao,1015,2013,France,4,Trinitario,Venezuela,70%
A. Morin,Pablino,1319,2014,France,4,,Peru,70%
Pacari,Tangara,1415,2014,Ecuador,4,,Ecuador,70%
"Smooth Chocolator, The",Camino Verde,1622,2015,Australia,4,,Ecuador,70%
Soma,"Tien Giang, Black S., batch VIT60420.0",1828,2016,Canada,4,Trinitario,Vietnam,70%
Pralus,Claudio Corallo w/ nibs,162,2007,France,4,Forastero,Sao Tome,75%
Pierre Marcolini,"Porcelana, Tabasco, Limited Ed.",81,2006,Belgium,4,Criollo,Mexico,100%
Valrhona,"Piura, Illanka, Quemazon",1510,2015,France,4,,Peru,80%
Valrhona,"Otucan, Grand Cru",931,2012,France,4,,Venezuela,69%
Patric,Madagascar,196,2007,U.S.A.,4,Trinitario,Madagascar,72%
Amedei,Toscano Black,40,2006,Italy,5,Blend,,70%
Rogue,"Silvestre, Batch 7, 2013",1081,2013,U.S.A.,4,,Bolivia,72%
Soma,Equator,1081,2013,Canada,4,,"Peru, Dom. Rep",72%
Pierre Marcolini,"Sambirano, Ambanja, Madagascar",141,2007,Belgium,4,Trinitario,Madagascar,75%
Ocelot,Piura,1558,2015,Scotland,4,Criollo,Peru,70%
Valrhona,"Porcelana, Pedegral",757,2011,France,4,Criollo,Venezuela,72%
Pacari,Piura,863,2012,Ecuador,4,,Peru,70%
Soma,"Dual Origins, Sambirano, Elvesia",867,2012,Canada,4,Blend,"Dom. Rep., Madagascar",71%
Soma,"Dancing in Your Head, 5 bean blend",867,2012,Canada,4,Blend,"Gre., PNG, Haw., Haiti, Mad",71%
Matale,"Somia, 2013",1177,2013,Australia,4,Trinitario,Madagascar,72%
Matale,"Kulili P., 2013",1177,2013,Australia,4,Trinitario,Papua New Guinea,72%
Soma,"Bachelor's Hall E., St. Thomas Parish",1177,2013,Canada,4,Trinitario,Jamaica,72%
Pacari,"Sierra Nevada, Tutu Iku",1848,2016,Ecuador,4,,Colombia,70%
"Willie's Cacao",Los Llanos,1848,2016,U.K.,4,,Colombia,70%
Scharffen Berger,San Juan de Cheni,959,2012,U.S.A.,4,,Peru,70%
A. Morin,Chanchamayo Province,1019,2013,France,4,,Peru,70%
